PC1,PC2,Weekly_Sales
2.5614141922704556,0.5057147869303115,1643690.9
3.031359544504454,3.567277705228451,1641957.44
2.643508764040017,0.6146736272887202,1611968.17
2.479915331139267,0.32283207786814716,1409727.59
2.3970762387352615,0.33694261142040555,1554806.68
2.1711235259832713,-0.15982027206254332,1439541.59
2.1751140347114295,-0.019076176771766446,1472515.79
2.234018023773165,0.11215166562578902,1404429.92
1.688398280053257,-0.29238801839832695,1594968.28
1.5976808977583385,-0.45620658409430787,1545418.53
1.5614182600946889,-0.4790177471804112,1466058.28
1.606748157452469,-0.4168772824496351,1391256.12
1.5940183896851243,-0.5352910307633759,1425100.71
1.4547073603729754,-0.7606330920907194,1603955.12
1.3977781789856616,-0.8580143163812286,1494251.5
1.3697113325535355,-0.9215837273986268,1399662.07
1.3557507102997548,-1.0935332233402228,1432069.95
1.3815118575457976,-1.0971069437502274,1615524.71
1.3934957939785313,-1.076147498695074,1542561.09
1.3778054994491273,-1.2434482025655313,1503284.06
1.3700639573645954,-1.2574690835171543,1422711.6
1.3869520277257725,-1.1023090620462688,1492418.14
1.443225857381362,-1.091554202824651,1546074.18
1.4283181655420214,-1.2128663564079494,1448938.92
1.4255160456932012,-1.2173930565891897,1385065.2
1.3894104350842986,-1.1398437237388839,1371986.6
1.3076570810059371,-1.3716955349421034,1605491.78
1.2096573097458134,-1.3511645326808557,1508237.76
1.2551116263650506,-1.3403048072199721,1513080.49
1.3381255858736538,-1.2831782240009186,1449142.92
1.455952504506127,-1.1108467663692816,1540163.53
1.9166750127634409,1.8863247779742138,1507460.69
1.4374046154270195,-1.1508054117546014,1430378.67
1.3917299694052032,-1.090632328265732,1351791.03
1.6163832237035944,-0.7014095008746357,1453329.5
1.6873799523257116,-0.34017652736713,1508239.93
1.5200016193130628,-0.4723622938713291,1459409.1
1.4670748988616962,-0.5888917275495889,1345454.0
1.4751530776472646,-0.5777909498016944,1384209.22
1.6656422710256498,-0.09305881617345342,1551659.28
1.596977598669005,-0.12534456318421752,1494479.49
1.6812140850749135,0.23894524486369298,1483784.18
1.9528474983593165,2.5325431902517708,1955624.11
1.8314303393868632,0.3139916543203494,1548033.78
1.724860729166363,0.4526445484511431,1682614.26
1.647968497862222,0.296244428039405,1891034.93
1.5893449147353966,0.18718357708880007,2387950.2
1.9788906888791387,3.254918682114935,1367320.01
1.399133194014984,0.40598152746573063,1444732.28
1.575573071279417,0.9823262545576713,1391013.96
1.3538855073818779,0.6187972480834446,1327405.42
1.31367882243344,0.6451599558153766,1316899.31
1.3125520132330395,0.7300267207068369,1606629.58
1.7110044326581646,3.9010177183055634,1649614.93
0.9225969557058056,0.09661331784612626,1686842.78
0.7749468859032359,-0.13419199034462057,1456800.28
0.5042132101505246,0.05130092270954133,1636263.41
0.33934059161443214,0.35144182926800754,1553191.63
0.13057816311625342,-0.043093520845461655,1576818.06
0.0089695668805277,-0.3544265268175169,1541102.38
